Time: 1612728740, System 1, Ping: 553
Time: 1612728750, System 1, Ping: 669
Time: 1612728760, System 1, Ping: 652
Time: 1612728770, System 1, Ping: 656
Time: 1612728781, System 1, Ping: 882
Time: 1612728791, System 1, Ping: 889
Time: 1612728801, System 1, Ping: 824
Time: 1612728811, System 1, Ping: 810
Time: 1612728821, System 1, Ping: 754
Time: 1612728831, System 1, Ping: 951
Time: 1612728841, System 1, Ping: 673
Time: 1612728851, System 1, Ping: 351
Time: 1612728861, System 1, Ping: 370
Time: 1612728871, System 1, Ping: 723
Time: 1612728882, System 1, Ping: 973
Time: 1612728892, System 1, Ping: 736
Time: 1612728902, System 1, Ping: 1043
Time: 1612728912, System 1, Ping: 952
Time: 1612728922, System 1, Ping: 844
Time: 1612728932, System 1, Ping: 939
Time: 1612728943, System 1, Ping: 1216
Time: 1612728953, System 1, Ping: 1359
Time: 1612728962, System 1, Ping: 714
Time: 1612728973, System 1, Ping: 934
Time: 1612728983, System 1, Ping: 1166
Time: 1612728993, System 1, Ping: 1094
Time: 1612729003, System 1, Ping: 994
Time: 1612729013, System 1, Ping: 661
Time: 1612729023, System 1, Ping: 1037
Time: 1612729034, System 1, Ping: 1510
Time: 1612729043, System 1, Ping: 947
Time: 1612729053, System 1, Ping: 816
Time: 1612729064, System 1, Ping: 1123
Time: 1612729074, System 1, Ping: 1456
Time: 1612729084, System 1, Ping: 1535
Time: 1612729094, System 1, Ping: 1578
Time: 1612729105, System 1, Ping: 1735
Time: 1612729114, System 1, Ping: 924
Time: 1612729124, System 1, Ping: 875
Time: 1612729133, System 1, Ping: 209
Time: 1612729144, System 1, Ping: 1182
Time: 1612729154, System 1, Ping: 859
Time: 1612729165, System 1, Ping: 1178
Time: 1612729175, System 1, Ping: 1422
Time: 1612729185, System 1, Ping: 1203
Time: 1612729194, System 1, Ping: 699
Time: 1612729205, System 1, Ping: 1321
Time: 1612729215, System 1, Ping: 1499
Time: 1612729225, System 1, Ping: 1271
Time: 1612729235, System 1, Ping: 1035
Time: 1612729245, System 1, Ping: 1604
Time: 1612729255, System 1, Ping: 942
Time: 1612729264, System 1, Ping: 553
Time: 1612729275, System 1, Ping: 1036
Time: 1612729285, System 1, Ping: 1116
Time: 1612729296, System 1, Ping: 1807
Time: 1612729305, System 1, Ping: 685
Time: 1612729316, System 1, Ping: 1356
Time: 1612729326, System 1, Ping: 1064
Time: 1612729336, System 1, Ping: 1039
Time: 1612729346, System 1, Ping: 817
Time: 1612729357, System 1, Ping: 1746
Time: 1612729366, System 1, Ping: 1012
Time: 1612729376, System 1, Ping: 1113
Time: 1612729387, System 1, Ping: 1340
Time: 1612729396, System 1, Ping: 857
Time: 1612729407, System 1, Ping: 1191
Time: 1612729418, System 1, Ping: 1507
Time: 1612729427, System 1, Ping: 1068
Time: 1612729437, System 1, Ping: 1138
Time: 1612729447, System 1, Ping: 749
Time: 1612729458, System 1, Ping: 1297
Time: 1612729468, System 1, Ping: 862
Time: 1612729478, System 1, Ping: 1040
Time: 1612729488, System 1, Ping: 1157
Time: 1612729498, System 1, Ping: 1156
Time: 1612729509, System 1, Ping: 1261
Time: 1612729519, System 1, Ping: 1684
Time: 1612729529, System 1, Ping: 1523
Time: 1612729539, System 1, Ping: 1239
Time: 1612729549, System 1, Ping: 1191
Time: 1612729559, System 1, Ping: 1254
Time: 1612729569, System 1, Ping: 1188
Time: 1612729585, System 1, ERROR: Ping timed out.
Time: 1612729591, System 1, Ping: 2691
Time: 1612729600, System 1, Ping: 1096
Time: 1612729609, System 1, Ping: 1089
Time: 1612729620, System 1, Ping: 1292
Time: 1612729635, System 1, ERROR: Ping timed out.
Time: 1612729642, System 1, Ping: 3419
Time: 1612729650, System 1, Ping: 1314
Time: 1612729661, System 1, Ping: 1616
Time: 1612729671, System 1, Ping: 1017
Time: 1612729680, System 1, Ping: 463
Time: 1612729693, System 1, Ping: 3225
Time: 1612729700, System 1, Ping: 1049
Time: 1612729711, System 1, Ping: 1334
Time: 1612729721, System 1, Ping: 1048
Time: 1612729731, System 1, Ping: 900
Time: 1612729741, System 1, Ping: 1103
Time: 1612729751, System 1, Ping: 1134
Time: 1612729761, System 1, Ping: 1102
Time: 1612729771, System 1, Ping: 692
Time: 1612729782, System 1, Ping: 1071
Time: 1612729791, System 1, Ping: 864
Time: 1612729802, System 1, Ping: 1009
Time: 1612729812, System 1, Ping: 1043
Time: 1612729822, System 1, Ping: 963
Time: 1612729832, System 1, Ping: 1234
Time: 1612729842, System 1, Ping: 1087
Time: 1612729852, System 1, Ping: 679
Time: 1612729863, System 1, Ping: 1111
Time: 1612729872, System 1, Ping: 832
Time: 1612729883, System 1, Ping: 987
Time: 1612729892, System 1, Ping: 955
Time: 1612729903, System 1, Ping: 1235
Time: 1612729913, System 1, Ping: 1397
Time: 1612729923, System 1, Ping: 1291
Time: 1612729933, System 1, Ping: 1215
Time: 1612729944, System 1, Ping: 1325
Time: 1612729953, System 1, Ping: 667
Time: 1612729964, System 1, Ping: 916
Time: 1612729975, System 1, Ping: 1484
Time: 1612729984, System 1, Ping: 1181
Time: 1612729994, System 1, Ping: 1180
Time: 1612730005, System 1, Ping: 1425
Time: 1612730015, System 1, Ping: 1330
Time: 1612730025, System 1, Ping: 952
Time: 1612730034, System 1, Ping: 338
Time: 1612730050, System 1, ERROR: Ping timed out.
Time: 1612730054, System 1, Ping: 509
Time: 1612730065, System 1, Ping: 667
Time: 1612730075, System 1, Ping: 925
Time: 1612730095, System 1, ERROR: Ping timed out.
Time: 1612730101, System 1, ERROR: Ping timed out.
Time: 1612730111, System 1, ERROR: Ping timed out.
Time: 1612730121, System 1, ERROR: Ping timed out.
Time: 1612730131, System 1, ERROR: Ping timed out.
Time: 1612730141, System 1, ERROR: Ping timed out.
Time: 1612730157, System 1, ERROR: Ping timed out.
Time: 1612730166, System 1, ERROR: Ping timed out.
Time: 1612730173, System 1, ERROR: Ping timed out.
Time: 1612730183, System 1, ERROR: Ping timed out.
Time: 1612730193, System 1, ERROR: Ping timed out.
Time: 1612730203, System 1, ERROR: Ping timed out.
Time: 1612730213, System 1, ERROR: Ping timed out.
Time: 1612730230, System 1, ERROR: Ping timed out.
Time: 1612730239, System 1, ERROR: Ping timed out.
Time: 1612730246, System 1, ERROR: Ping timed out.
Time: 1612730256, System 1, ERROR: Ping timed out.
Time: 1612730261, System 1, Ping: 1366
Time: 1612730271, System 1, Ping: 712
Time: 1612730282, System 1, Ping: 1345
Time: 1612730291, System 1, Ping: 800
Time: 1612730301, System 1, Ping: 699
Time: 1612730312, System 1, Ping: 1096
Time: 1612730322, System 1, Ping: 706
Time: 1612730332, System 1, Ping: 683
Time: 1612730341, System 1, Ping: 212
Time: 1612730352, System 1, Ping: 296
Time: 1612730362, System 1, Ping: 891
Time: 1612730373, System 1, Ping: 1014
Time: 1612730382, System 1, Ping: 683
Time: 1612730393, System 1, Ping: 900
Time: 1612730408, System 1, ERROR: Ping timed out.
Time: 1612730418, System 1, ERROR: Ping timed out.
Time: 1612730430, System 1, ERROR: Ping timed out.
Time: 1612730442, System 1, ERROR: Ping timed out.
Time: 1612730451, System 1, ERROR: Ping timed out.
Time: 1612730459, System 1, ERROR: Ping timed out.
Time: 1612730469, System 1, ERROR: Ping timed out.
Time: 1612730479, System 1, ERROR: Ping timed out.
Time: 1612730489, System 1, ERROR: Ping timed out.
Time: 1612730500, System 1, ERROR: Ping timed out.
Time: 1612730511, System 1, ERROR: Ping timed out.
Time: 1612730519, System 1, ERROR: Ping timed out.
Time: 1612730529, System 1, ERROR: Ping timed out.
Time: 1612730539, System 1, ERROR: Ping timed out.
Time: 1612730550, System 1, ERROR: Ping timed out.
Time: 1612730560, System 1, ERROR: Ping timed out.
Time: 1612730572, System 1, ERROR: Ping timed out.
Time: 1612730586, System 1, ERROR: Ping timed out.
Time: 1612730593, System 1, ERROR: Ping timed out.
Time: 1612730603, System 1, ERROR: Ping timed out.
Time: 1612730613, System 1, ERROR: Ping timed out.
Time: 1612730623, System 1, ERROR: Ping timed out.
Time: 1612730633, System 1, ERROR: Ping timed out.
Time: 1612730648, System 1, ERROR: Ping timed out.
