sysID,PLL-therm,CPU-therm,PMIC-Die,GPU-therm,AO-therm,thermal-fan-est,epoch
1,42.5,44.5,100.0,43.5,51.0,43.75,1616653251.6255758
1,43.5,47.0,100.0,43.5,51.0,45.75,1616653251.6255758
1,45.0,48.5,100.0,45.0,53.5,46.75,1616653251.6255758
1,46.0,48.5,100.0,46.0,54.0,47.0,1616653251.6255758
1,47.0,49.0,100.0,47.0,54.5,48.0,1616653251.6255758
1,46.0,47.5,100.0,46.5,54.0,47.5,1616653251.6255758
1,46.5,49.0,100.0,47.0,54.5,47.75,1616653251.6255758
1,47.0,49.5,100.0,47.5,55.0,48.5,1616653251.6255758
1,47.5,49.5,100.0,47.5,55.0,48.75,1616653251.6255758
1,48.0,49.5,100.0,48.5,55.5,49.0,1616653251.6255758
