Time: 1616653046, System 2, Ping: 959
Time: 1616653056, System 2, Ping: 805
Time: 1616653066, System 2, Ping: 700
Time: 1616653076, System 2, Ping: 698
Time: 1616653086, System 2, Ping: 632
Time: 1616653097, System 2, Ping: 1237
Time: 1616653107, System 2, Ping: 1438
Time: 1616653117, System 2, Ping: 1267
Time: 1616653126, System 2, Ping: 660
Time: 1616653174, System 2, ERROR: Ping timed out.
Time: 1616653184, System 2, ERROR: Ping timed out.
Time: 1616653189, System 2, Ping: 582
Time: 1616653199, System 2, Ping: 737
Time: 1616653210, System 2, Ping: 954
Time: 1616653220, System 2, Ping: 600
Time: 1616653230, System 2, Ping: 766
Time: 1616653241, System 2, Ping: 1161
Time: 1616653277, System 2, Ping: 860
Time: 1616653287, System 2, Ping: 768
Time: 1616653298, System 2, Ping: 725
Time: 1616653308, System 2, Ping: 742
Time: 1616653318, System 2, Ping: 980
Time: 1616653327, System 2, Ping: 558
Time: 1616653338, System 2, Ping: 968
Time: 1616653348, System 2, Ping: 712
Time: 1616653358, System 2, Ping: 795
Time: 1616653368, System 2, Ping: 663
Time: 1616653378, System 2, Ping: 656
Time: 1616653397, System 2, ERROR: Ping timed out.
Time: 1616653399, System 2, Ping: 948
Time: 1616653408, System 2, Ping: 313
Time: 1616653424, System 2, ERROR: Ping timed out.
Time: 1616653429, System 2, Ping: 406
Time: 1616653439, System 2, Ping: 565
Time: 1616653449, System 2, Ping: 790
Time: 1616653460, System 2, Ping: 1042
Time: 1616653469, System 2, Ping: 456
Time: 1616653479, System 2, Ping: 189
Time: 1616653490, System 2, Ping: 785
Time: 1616653500, System 2, Ping: 764
Time: 1616653511, System 2, Ping: 1185
Time: 1616653521, System 2, Ping: 1007
Time: 1616653773, System 1, Ping: 809
Time: 1616653783, System 1, Ping: 736
Time: 1616653901, System 1, Ping: 1500
Time: 1616653911, System 1, Ping: 1270
Time: 1616653921, System 1, Ping: 1006
Time: 1616653932, System 1, Ping: 1165
Time: 1616653941, System 1, Ping: 692
Time: 1616653952, System 1, Ping: 1112
Time: 1616653961, System 1, Ping: 783
Time: 1616653972, System 1, Ping: 990
Time: 1616653982, System 1, Ping: 1029
Time: 1616653991, System 1, Ping: 672
Time: 1616654001, System 1, Ping: 619
Time: 1616654012, System 1, Ping: 736
Time: 1616654022, System 1, Ping: 1274
Time: 1616654031, System 1, Ping: 295
Time: 1616654042, System 1, Ping: 1181
Time: 1616654052, System 1, Ping: 453
Time: 1616654062, System 1, Ping: 1222
Time: 1616654072, System 1, Ping: 813
Time: 1616654082, System 1, Ping: 968
Time: 1616654093, System 1, Ping: 1377
Time: 1616654102, System 1, Ping: 603
Time: 1616654113, System 1, Ping: 776
Time: 1616654123, System 1, Ping: 840
Time: 1616654133, System 1, Ping: 1071
Time: 1616654143, System 1, Ping: 542
Time: 1616654153, System 1, Ping: 1270
Time: 1616654163, System 1, Ping: 1125
Time: 1616654173, System 1, Ping: 749
Time: 1616654183, System 1, Ping: 644
Time: 1616654194, System 1, Ping: 1294
Time: 1616654204, System 1, Ping: 747
Time: 1616654214, System 1, Ping: 1290
Time: 1616654224, System 1, Ping: 960
Time: 1616654235, System 1, Ping: 1161
Time: 1616654244, System 1, Ping: 727
Time: 1616654254, System 1, Ping: 714
Time: 1616654265, System 1, Ping: 1446
Time: 1616654275, System 1, Ping: 1150
Time: 1616654285, System 1, Ping: 960
Time: 1616654295, System 1, Ping: 1201
Time: 1616654305, System 1, Ping: 925
Time: 1616654315, System 1, Ping: 667
Time: 1616654325, System 1, Ping: 520
Time: 1616654336, System 1, Ping: 1413
Time: 1616654346, System 1, Ping: 936
Time: 1616654356, System 1, Ping: 918
Time: 1616654366, System 1, Ping: 716
Time: 1616654376, System 1, Ping: 561
Time: 1616654387, System 1, Ping: 916
Time: 1616654397, System 1, Ping: 898
Time: 1616654406, System 1, Ping: 583
Time: 1616654417, System 1, Ping: 948
Time: 1616654426, System 1, Ping: 539
Time: 1616654437, System 1, Ping: 938
Time: 1616654447, System 1, Ping: 1069
Time: 1616654457, System 1, Ping: 819
Time: 1616654467, System 1, Ping: 909
Time: 1616654477, System 1, Ping: 740
Time: 1616654488, System 1, Ping: 1071
Time: 1616654497, System 1, Ping: 549
Time: 1616654508, System 1, Ping: 1099
Time: 1616654518, System 1, Ping: 892
Time: 1616654528, System 1, Ping: 1101
Time: 1616654538, System 1, Ping: 1023
Time: 1616654548, System 1, Ping: 1007
Time: 1616654558, System 1, Ping: 885
Time: 1616654568, System 1, Ping: 379
Time: 1616654579, System 1, Ping: 1064
Time: 1616654589, System 1, Ping: 842
Time: 1616654599, System 1, Ping: 975
Time: 1616654608, System 1, Ping: 604
Time: 1616654618, System 1, Ping: 464
Time: 1616654629, System 1, Ping: 1023
Time: 1616654639, System 1, Ping: 932
Time: 1616654649, System 1, Ping: 730
Time: 1616654659, System 1, Ping: 536
Time: 1616654669, System 1, Ping: 769
Time: 1616654679, System 1, Ping: 417
Time: 1616654690, System 1, Ping: 1396
