system_id,m_epoch,r_acc_x,r_acc_y,r_acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,q_w,q_i,q_j,q_k,roll,pitch,yaw
1,1626619720607,2.34962,-0.0864477,9.59959,0.00323355,-0.0242099,-0.00149161,-0.985151,0.179611,0.0581005,0.756059,-0.0797389,-0.0880535,-0.643632,-0.426069,-13.6383,-80.7645
1,1626619720807,2.26987,-0.062107,9.5487,0.0132009,0.016734,-0.0160679,-0.989804,0.176833,0.0502885,0.755829,-0.0793612,-0.0882737,-0.643919,-0.370534,-13.6296,-80.8135
1,1626619721008,2.29607,-0.0897876,9.5375,0.0125244,-0.00610054,0.000995398,-0.98948,0.189422,0.0552871,0.755529,-0.0789417,-0.0886091,-0.644276,-0.30115,-13.6278,-80.8757
1,1626619721208,2.29918,-0.0824815,9.55726,-0.010471,-0.00510812,-0.000910461,-0.992922,0.177527,0.0622673,0.755282,-0.0785131,-0.0885175,-0.644632,-0.26388,-13.5878,-80.93
1,1626619721408,2.29874,-0.0955393,9.55257,0.016892,-0.000609457,-0.00672788,-0.992089,0.192189,0.0599626,0.754952,-0.0779932,-0.0887143,-0.645053,-0.19518,-13.5663,-80.9998
1,1626619721609,2.32268,-0.0605035,9.539,0.00380576,0.0130236,-0.0153586,-0.992557,0.182327,0.0598711,0.754634,-0.0776989,-0.0886158,-0.645475,-0.169127,-13.5356,-81.0639
1,1626619721809,2.32652,-0.0815529,9.51264,-0.00581294,-0.0091657,-0.0039801,-0.984931,0.187138,0.0606112,0.754351,-0.0774016,-0.0886227,-0.64584,-0.135757,-13.514,-81.1211
1,1626619722009,2.31265,-0.0734093,9.54383,0.013192,0.00904352,-0.00118762,-0.985309,0.184935,0.0654725,0.754005,-0.0771667,-0.0886309,-0.646271,-0.106588,-13.4972,-81.1883
1,1626619722210,2.34827,-0.0996164,9.53372,0.00728369,0.000944734,-0.00510216,-0.987368,0.181985,0.0554499,0.753846,-0.0770622,-0.0885802,-0.646475,-0.0975852,-13.4849,-81.2192
1,1626619722410,2.30696,-0.0496014,9.54556,-0.000137091,0.0165328,-0.0101432,-0.984566,0.191938,0.0582149,0.753475,-0.0769028,-0.0884831,-0.646941,-0.0825936,-13.4645,-81.2897
1,1626619722611,2.31616,-0.0729329,9.54045,0.00898093,-0.00276864,-0.0112697,-0.990093,0.182287,0.0601025,0.75324,-0.0766408,-0.0883861,-0.647259,-0.0612915,-13.4363,-81.3377
1,1626619722811,2.30196,-0.0765802,9.53703,-0.00540912,0.011307,0.001432,-0.989949,0.17956,0.0551955,0.752973,-0.0763443,-0.0883805,-0.647605,-0.0294026,-13.4136,-81.3918
1,1626619723011,2.32186,-0.0836155,9.56085,0.00439733,0.00655204,-0.01131,-0.984435,0.191807,0.0557729,0.752727,-0.07605,-0.088283,-0.647939,-0.00505939,-13.3829,-81.4424
1,1626619723212,2.31724,-0.0840187,9.55739,0.0168771,-0.0102863,0.00478774,-0.984917,0.184542,0.0581463,0.752403,-0.0760284,-0.08812,-0.648339,-0.00853152,-13.367,-81.5014
1,1626619723412,2.30007,-0.0706624,9.5591,0.0126407,-0.00995845,-0.00739843,-0.989611,0.189553,0.0577291,0.752057,-0.0759286,-0.0881821,-0.648744,0.0123527,-13.3649,-81.5652
1,1626619723613,2.31459,-0.0666555,9.53078,0.00688583,0.00429005,-0.00261664,-0.985296,0.182338,0.0630075,0.751651,-0.0758852,-0.0881477,-0.649224,0.0221928,-13.3586,-81.6389
1,1626619723813,2.30593,-0.0622246,9.55617,0.028947,-0.0116959,-0.0159502,-0.98244,0.181905,0.0559128,0.751359,-0.075803,-0.0883403,-0.649545,0.0501387,-13.3692,-81.6923
1,1626619724013,2.3083,-0.0584252,9.54074,-0.00773519,-0.00529438,-0.00292808,-0.989597,0.186956,0.0552642,0.751041,-0.0757359,-0.0883585,-0.649919,0.064201,-13.3657,-81.7505
1,1626619724214,2.3094,-0.0863591,9.5675,0.0157565,-0.0131607,-0.000116229,-0.990224,0.182418,0.0625446,0.75067,-0.0754755,-0.0885511,-0.650351,0.109786,-13.3628,-81.8216
1,1626619724414,2.30799,-0.0650177,9.57122,0.0127926,0.00777096,0.0015676,-0.992516,0.174538,0.0524762,0.75048,-0.0755673,-0.0884204,-0.650577,0.0956984,-13.3583,-81.854
1,1626619724614,2.27761,-0.0566416,9.52258,0.0177532,-0.021781,-0.0117347,-0.990052,0.174498,0.0527076,0.750071,-0.0755674,-0.0885194,-0.651036,0.1117,-13.3669,-81.9268
1,1626619724815,2.31689,-0.0685697,9.53517,0.0125691,0.0127226,0.00344366,-0.984435,0.191807,0.0557729,0.749659,-0.0754571,-0.0886148,-0.651509,0.137368,-13.3668,-82.0022
1,1626619725015,2.34131,-0.0843637,9.5326,-0.00478029,0.00506938,-0.0165269,-0.987237,0.181855,0.0530078,0.749259,-0.0752813,-0.088585,-0.651994,0.15919,-13.3508,-82.0772
1,1626619725216,2.33532,-0.0912003,9.5311,-0.0127643,-0.014241,-0.00628978,-0.98712,0.18432,0.0530307,0.748919,-0.0752331,-0.0885383,-0.652396,0.167057,-13.343,-82.1389
1,1626619725416,2.30549,-0.0706205,9.54227,0.00752807,0.00271797,-0.0141859,-0.987147,0.189513,0.0579606,0.748515,-0.0751616,-0.088599,-0.65286,0.186449,-13.3427,-82.2121
1,1626619725616,2.30311,-0.0597814,9.56091,-0.00038594,-0.00931174,-0.0174895,-0.992323,0.187258,0.0599168,0.748246,-0.0750305,-0.0884745,-0.6532,0.194339,-13.3219,-82.263
1,1626619725817,2.34697,-0.0940055,9.57082,0.00420064,-0.00191331,0.00444651,-0.987381,0.184582,0.0579148,0.747891,-0.0750247,-0.0882801,-0.653634,0.187532,-13.3044,-82.3268
1,1626619726017,2.26567,-0.0538627,9.54276,-0.00822097,0.00752211,0.00290424,-0.984566,0.191938,0.0582149,0.747596,-0.0748955,-0.0881478,-0.654004,0.195142,-13.283,-82.3821
1,1626619726218,2.28536,-0.0780414,9.5615,0.0113219,0.0175238,0.00268817,-0.987251,0.184451,0.0554727,0.747119,-0.0749559,-0.0882665,-0.654526,0.208623,-13.2978,-82.4654
1,1626619726418,2.31113,-0.0707406,9.56451,-0.000560284,0.000210106,-0.00304282,-0.984656,0.18428,0.0532621,0.746811,-0.0746461,-0.0881247,-0.654931,0.231825,-13.2618,-82.5266
1,1626619726618,2.30778,-0.07913,9.53567,0.012292,0.0135094,-0.0134543,-0.990093,0.182287,0.0601025,0.746566,-0.0746448,-0.088188,-0.655202,0.241781,-13.2671,-82.5698
1,1626619726819,2.30773,-0.0699527,9.54569,-0.0072524,0.00617504,-0.00819266,-0.992061,0.186996,0.0550327,0.74632,-0.0743767,-0.0879278,-0.655547,0.250957,-13.2241,-82.6195
1,1626619727019,2.30993,-0.0533577,9.56294,0.0106215,0.0157043,-0.0159532,-0.990093,0.182287,0.0601025,0.746022,-0.0745057,-0.0879442,-0.655871,0.246873,-13.2352,-82.6698
1,1626619727219,2.29183,-0.0635071,9.54741,0.0212312,0.00246316,0.00181496,-0.989976,0.184753,0.0601254,0.745846,-0.0744383,-0.087983,-0.656073,0.259423,-13.2333,-82.7021
1,1626619727420,2.3117,-0.0583113,9.55233,0.00175834,-0.000880659,6.10948e-05,-0.984917,0.184542,0.0581463,0.74548,-0.0742414,-0.0881076,-0.656494,0.293896,-13.229,-82.7705
1,1626619727620,2.31503,-0.0668329,9.54525,0.001508,0.00140369,0.019297,-0.990354,0.182549,0.0649866,0.745265,-0.0741541,-0.0878988,-0.656776,0.290175,-13.2041,-82.8108
1,1626619727821,2.28754,-0.0782249,9.56675,-0.000609458,-0.00405908,0.00261515,-0.989976,0.184753,0.0601254,0.745018,-0.0741153,-0.0878378,-0.657069,0.294051,-13.1958,-82.8554
1,1626619728021,2.27875,-0.0569755,9.55879,0.00979006,-0.016284,0.00329167,-0.982584,0.184633,0.0608198,0.744826,-0.0739879,-0.087794,-0.657307,0.30595,-13.1822,-82.892
1,1626619728221,2.31959,-0.0644953,9.54712,0.000844896,-0.00997782,-0.0124455,-0.987498,0.182116,0.0578919,0.744471,-0.0740379,-0.0879162,-0.657687,0.318059,-13.1964,-82.9534
1,1626619728422,2.32675,-0.0908085,9.54217,-0.000298023,0.00521392,-0.00312179,-0.989597,0.186956,0.0552642,0.744124,-0.0740043,-0.0879712,-0.658076,0.332309,-13.1984,-83.0151
1,1626619728622,2.30916,-0.0740853,9.56839,0.00853986,-0.000968576,0.00797063,-0.999922,0.177254,0.0542468,0.743864,-0.073861,-0.0879455,-0.658389,0.348359,-13.1851,-83.0639
1,1626619728822,2.29146,-0.0696638,9.54021,-0.0214368,0.000874698,-0.0032559,-0.984917,0.184542,0.0581463,0.743594,-0.0736808,-0.0879161,-0.658718,0.367576,-13.1686,-83.1151
1,1626619729023,2.34375,-0.0861224,9.54997,0.0196934,0.00207424,-0.00425279,-0.984787,0.184411,0.0557042,0.743342,-0.0736309,-0.0879165,-0.659008,0.377158,-13.1647,-83.1606
1,1626619729223,2.29595,-0.0679287,9.53058,-0.00395477,0.00133216,-0.0054732,-0.980093,0.1794,0.0561214,0.742865,-0.0736106,-0.0878598,-0.659555,0.384305,-13.158,-83.2451
1,1626619729424,2.31018,-0.100692,9.57057,-0.0143662,0.00729114,-0.000420213,-0.987485,0.17952,0.055427,0.742476,-0.073891,-0.0878364,-0.659966,0.365634,-13.1772,-83.3082
1,1626619729624,2.31318,-0.0556479,9.52583,0.00929832,0.00258088,-0.00173748,-0.98489,0.179349,0.0532164,0.742208,-0.0739919,-0.0877359,-0.660268,0.354459,-13.1762,-83.3535
1,1626619729824,2.32171,-0.0607157,9.57463,-0.00133514,-0.00026226,0.00414848,-0.989962,0.182156,0.0576605,0.741941,-0.0742882,-0.0878138,-0.660525,0.339669,-13.2055,-83.3945
1,1626619730025,2.3116,-0.0730431,9.53179,0.00159889,0.0078246,-0.00412911,-0.984944,0.189735,0.0630762,0.741594,-0.0742743,-0.0876818,-0.660934,0.337858,-13.1929,-83.4561
1,1626619730225,2.29308,-0.0493545,9.56128,0.00272691,-0.00150651,-0.00390112,-0.980485,0.179793,0.0634475,0.741389,-0.074355,-0.0875514,-0.661172,0.324896,-13.1877,-83.4908
1,1626619730425,2.34389,-0.0816541,9.56685,0.00715852,0.0147715,-0.00405312,-0.985062,0.187269,0.0630533,0.740889,-0.0744937,-0.0877468,-0.661691,0.337797,-13.2149,-83.5755
1,1626619730626,2.28768,-0.0348852,9.54234,-0.00470132,0.000740588,-0.0188097,-0.985034,0.182076,0.0581234,0.740594,-0.0744315,-0.0875077,-0.662059,0.330937,-13.1895,-83.629
1,1626619730827,2.29715,-0.0655006,9.54939,0.00775456,-0.000298023,-0.00286996,-0.992323,0.187258,0.0599168,0.740119,-0.0743706,-0.0874825,-0.662601,0.344,-13.1824,-83.7135
1,1626619731027,2.31369,-0.110036,9.55381,0.00441521,0.0101596,-0.00236481,-0.982818,0.179702,0.060774,0.739801,-0.0745154,-0.0875726,-0.662928,0.344606,-13.2011,-83.7663
1,1626619731228,2.30867,-0.0686008,9.55773,-0.0132084,0.00257194,-0.0130549,-0.98235,0.189564,0.0608656,0.739494,-0.0748528,-0.0876648,-0.66322,0.328176,-13.2348,-83.8131
1,1626619731428,2.30831,-0.0668177,9.54467,0.0089407,0.000560284,0.00614077,-0.995035,0.184964,0.0621046,0.739131,-0.0749168,-0.0878716,-0.66359,0.345816,-13.2574,-83.875
1,1626619731629,2.31342,-0.0776661,9.52935,0.0141829,-0.00741184,-0.00526309,-0.989872,0.189815,0.0626132,0.738758,-0.0750537,-0.0877757,-0.664003,0.333979,-13.2595,-83.9379
